Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
610,1188694272,G. Antillon,Gunner Antillon,Antillon,Gunner,SS,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,805,193,0,0.342,0.405,0.286,13,3,9.50%,9.90%,85.3,85.7,98.6,101,10.5,31.00%,20.70%,43.70%,68.50%,93.80%,22.70%,5.20%,0.00%,0.116,33.30%,0.037,66.00%,31%,88.10%
611,1598424062,C. Dierdorf,Carter Dierdorf,Dierdorf,Carter,1B,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,867,189,0,0.28,0.405,0.349,16,13,27.80%,15.00%,96.6,94.9,103.7,107.7,20.2,40.70%,37.00%,39.80%,56.10%,79.30%,22.00%,10.80%,0.00%,-,40.00%,0,46.90%,74%,72.80%
612,1391146306,N. Franco,Noah Franco,Franco,Noah,TWP,Texas Christian University,TCU,5045,TCU,BBC,L,L,964,217,8,0.313,0.405,0.305,16,11,25.20%,10.00%,92.2,93.5,107,112.2,5.2,26.30%,22.40%,48.20%,69.00%,77.50%,33.40%,15.20%,37.30%,0.34,30.60%,0.388,55.10%,57%,68.40%
613,1299946496,M. Jackson,Miles Jackson,Jackson,Miles,LF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,459,146,0,0.356,0.405,0.309,9,2,7.50%,10.30%,81.7,74.7,99.5,102.4,-7.8,25.00%,20.00%,49.00%,72.70%,84.60%,23.40%,6.30%,0.00%,-,0.00%,0.535,78.10%,30%,87.10%
614,1342169199,R. Rispoli,Robert Rispoli,Rispoli,Robert,SS,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,1178,216,0,0.324,0.404,0.345,5,4,18.90%,16.40%,86.6,86,100.7,106.3,2.7,27.90%,16.90%,32.20%,55.50%,87.50%,12.70%,5.90%,13.30%,0.224,0.00%,0.304,60.50%,37%,81.80%
615,1233913344,M. Miura,Matthew Miura,Miura,Matthew,CF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,931,213,0,0.338,0.404,0.333,13,3,7.60%,17.60%,86.3,86.8,99.6,100.9,4.4,24.60%,14.00%,36.20%,63.30%,96.20%,13.50%,2.80%,8.30%,0.147,0.00%,-,77.10%,28%,92.30%
616,1367875521,W. Perez,Wilbert Perez,Perez,Wilbert,1B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,632,185,0,0.324,0.404,0.353,12,8,18.30%,8.70%,93.7,87.4,111,113.5,7.6,35.30%,35.30%,51.60%,71.50%,84.30%,41.00%,12.00%,50.00%,-,100.00%,0,50.00%,59%,76.70%
617,1314869504,B. Frye,Bradley Frye,Frye,Bradley,SS,Mercer University,MER,730240512,Mercer,BBC,R,R,962,252,0,0.337,0.404,0.294,18,12,16.30%,6.50%,90.4,92.9,104.2,110.7,8.1,30.30%,21.00%,48.80%,70.80%,88.60%,30.30%,9.10%,35.70%,0.104,31.30%,0.182,65.80%,50%,81.20%
618,1190295297,K. Aloy,Kuhio Aloy,Aloy,Kuhio,IF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,1119,243,0,0.317,0.404,0.307,15,13,27.50%,11.10%,91.9,93.8,108.7,115.4,6.1,28.70%,19.10%,43.80%,66.90%,76.00%,25.60%,13.70%,18.80%,0.354,55.90%,0.181,52.30%,57%,68.80%
619,1100739840,B. Reynolds,Brady Reynolds,Reynolds,Brady,RF,Stanford University,STAN,730251264,Stanford,BBC,L,R,732,157,0,0.306,0.404,0.34,9,8,27.70%,10.30%,87.2,91,102.4,108.7,11.3,42.90%,22.90%,43.60%,69.30%,73.20%,23.00%,14.60%,35.30%,0.714,66.70%,0.076,48.90%,40%,66.50%
620,1698892798,E. Gries-Smith,Eli Gries-Smith,Gries-Smith,Eli,CF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,763,207,1,0.353,0.404,0.315,16,2,18.00%,10.20%,86.4,80.3,101.7,102.7,10.7,47.40%,26.30%,46.90%,67.10%,80.60%,26.50%,9.30%,33.30%,-,0.00%,0.326,65.90%,37%,80.20%
