Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,Z-Swing,Z-Contact%,O-Swing%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs Spin 83+,xSLG vs 83+ Spin
2045,1165637632,J. Altman,Jake Altman,Altman,Jake,3B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,278,68,30,0.279,0.356,0.246,6,0,11.60%,14.00%,67.3,69.2,94.5,94.5,5.2,23.10%,0.00%,36.00%,51.40%,78.90%,26.80%,5.40%,15.00%,-,-,-
2046,1340693760,P. Bouck,Parks Bouck,Bouck,Parks,LF,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,822,176,54,0.273,0.356,0.334,7,5,16.50%,11.80%,86.9,86.8,101.4,104.7,17.6,29.00%,19.40%,43.90%,65.60%,84.20%,29.00%,10.00%,22.70%,0.21,37%,0.537
2047,1152864000,L. Filippi,Luke Filippi,Filippi,Luke,CF,University at Albany,ALBY,730280448,Albany,BBC,R,R,730,181,50,0.309,0.356,0.281,8,0,23.00%,9.70%,84,84.2,96.2,102.9,14.2,32.60%,11.60%,46.30%,69.20%,81.90%,32.20%,11.40%,24.60%,0.366,50%,0.01
2048,1183838720,T. Clarkson,TJ Clarkson,Clarkson,TJ,TWP,University of Utah,UTAH,730328320,Utah,BBC,L,L,946,217,55,0.258,0.356,0.316,9,10,15.30%,10.70%,88.2,85.4,106.3,111.3,19.1,31.20%,16.30%,44.80%,71.00%,89.20%,24.10%,8.10%,18.20%,0.537,29%,0.307
2049,1139894784,C. Garate,Carter Garate,Garate,Carter,3B,University of Oregon,ORE,4807,Oregon,BBC,L,R,840,194,60,0.289,0.356,0.303,13,3,24.60%,8.90%,81.2,83.6,100.6,105.9,8,29.80%,15.40%,47.50%,70.00%,82.20%,31.50%,11.90%,25.10%,0.271,18%,0.373
2050,1310321408,N. Sorensen,Noah Sorensen,Sorensen,Noah,2B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,701,204,58,0.279,0.356,0.246,6,4,12.80%,12.00%,79.6,82.3,95.5,100.5,2,29.70%,5.40%,43.10%,69.90%,87.50%,23.30%,5.40%,12.60%,0.106,17%,0.131
2051,1096254976,J. Barnes,Jerry Barnes,Barnes,Jerry,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,588,110,42,0.227,0.356,0.345,6,3,26.90%,11.70%,84.6,86.1,102.3,107.6,8,25.40%,13.60%,35.70%,58.90%,82.20%,16.80%,9.70%,27.10%,0.031,50%,-
2052,1159936512,J. Sierra,Justin Sierra,Sierra,Justin,OF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,801,225,55,0.307,0.356,0.271,7,4,19.50%,8.80%,83.4,74.4,96.6,99,9.7,41.20%,11.80%,43.70%,59.00%,82.60%,19.50%,7.50%,17.10%,0.121,67%,0
2053,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,328,86,26,0.291,0.356,0.326,6,3,20.60%,5.20%,89.4,91.5,100,105.8,11.5,43.10%,27.60%,45.40%,68.80%,89.80%,27.50%,12.20%,26.80%,0.398,61%,0.058
2054,1136947968,D. Stahl,Drew Stahl,Stahl,Drew,IF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,979,235,60,0.277,0.356,0.281,13,9,16.70%,10.90%,86.4,90.2,100.5,104.5,12.1,35.10%,21.10%,47.80%,72.80%,83.30%,29.10%,10.80%,22.60%,0.15,41%,0.238
2055,1328928256,D. Kark,Dillon Kark,Kark,Dillon,IF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,792,219,51,0.324,0.356,0.289,17,4,20.00%,3.80%,84.6,82.7,99.6,104.1,12.1,39.00%,15.40%,48.90%,72.40%,85.00%,30.90%,13.40%,27.40%,0.174,25%,0.355
2056,1238194432,A. Rodgers,Alex Rodgers,Rodgers,Alex,OF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,1008,232,60,0.293,0.356,0.283,15,2,16.30%,13.10%,85.3,87.1,99.2,102.4,18.4,31.60%,16.70%,42.30%,68.60%,85.80%,20.60%,7.50%,17.80%,0.232,30%,0.083
2057,1145304832,J. Vargas,Jose Vargas,Vargas,Jose,IF,Grambling State University,GRAM,5378,Grambling State,BBC,S,L,489,160,49,0.319,0.356,0.256,5,0,8.20%,15.30%,84.2,85.9,95.9,99,-7.6,20.00%,0.00%,40.90%,61.00%,84.00%,23.40%,3.70%,9.00%,0.153,0%,-
2058,1297499392,K. Grady,Keaton Grady,Grady,Keaton,2B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,S,R,135,24,15,0.25,0.356,0.306,0,1,26.70%,16.70%,89.2,86,98.7,99.1,20.3,15.40%,7.70%,43.70%,70.60%,86.10%,27.40%,10.40%,23.70%,-,0%,-
2059,1256122368,L. Keller,Logan Keller,Keller,Logan,IF,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,756,203,51,0.3,0.356,0.29,11,6,16.00%,6.70%,87.4,89.4,103.3,104.8,13.8,42.60%,27.70%,52.80%,75.70%,85.10%,39.50%,11.40%,21.60%,0.08,64%,0.044
2060,1097651712,M. Abshire,Matt Abshire,Abshire,Matt,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,599,147,45,0.293,0.356,0.276,11,5,17.60%,7.90%,87.6,86.5,104,106.3,16.2,31.30%,16.20%,46.40%,74.70%,87.70%,22.90%,7.80%,16.90%,0.349,19%,0.075
2061,1112501760,W. Aubel,Will Aubel,Aubel,Will,OF,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,631,174,48,0.322,0.356,0.308,5,3,15.90%,6.20%,85.3,81.4,98.8,100,12.7,28.60%,8.60%,52.50%,81.40%,82.90%,39.80%,10.50%,19.90%,0,100%,0
2062,1251435008,M. Ballard,Michael Ballard,Ballard,Michael,2B,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,1131,248,64,0.31,0.356,0.285,12,4,14.60%,10.80%,84.3,84.6,99.2,105.3,13,32.90%,11.00%,39.60%,60.40%,90.10%,23.10%,6.00%,15.20%,0.239,36%,0.183
2063,1319066369,S. Manwarren,Sam Manwarren,Manwarren,Sam,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,129,28,14,0.286,0.356,0.236,3,0,24.20%,9.10%,83,84.5,99.9,100.5,11.3,10.00%,0.00%,45.00%,60.00%,71.40%,29.20%,10.90%,24.10%,-,50%,-
2064,1310870784,P. Steele,Preston Steele,Steele,Preston,3B,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,473,104,32,0.231,0.356,0.365,1,7,15.70%,11.80%,87.2,67.8,101.4,101.4,15.7,28.60%,14.30%,42.70%,54.20%,76.90%,26.80%,10.40%,24.30%,0.183,-,-
2065,1336539648,B. Durand,Brandyn Durand,Durand,Brandyn,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,711,181,49,0.249,0.356,0.384,11,11,33.00%,10.70%,94.5,94.9,107.5,108.8,13,43.80%,25.00%,46.80%,72.00%,66.70%,31.30%,17.20%,36.60%,-,100%,0
